Piperacillin–tazobactam induced bicytopenia in low cumulative treatment doses	6954770	PMC6954770.nxml	PTZ	cause of	the most likely cause of neutropenia	PTZ was suspected to be the most likely cause of neutropenia and thrombocytopenia and was hence terminated on day 14 ( cumulative dose of PTZ : 126 g ) following stabilisation of the infection condition .
More Than Half Prevalence of Protozoan Parasitic Infections Among Diarrheic Outpatients in Eastern Tigrai, Ethiopia, 2019; A Cross-Sectional Study	6954853	PMC6954853.nxml	Ethiopia	causes	malnutrition	Protozoan infections remain a major public health concern in Ethiopia , which causes malnutrition , protein and iron deficiencies , increment of health costs , hospitalization and long - term deleterious effects .
More Than Half Prevalence of Protozoan Parasitic Infections Among Diarrheic Outpatients in Eastern Tigrai, Ethiopia, 2019; A Cross-Sectional Study	6954853	PMC6954853.nxml	which causes malnutrition	causes	malnutrition	Protozoan infections remain a major public health concern in Ethiopia , which causes malnutrition , protein and iron deficiencies , increment of health costs , hospitalization and long - term deleterious effects .
Moderating Role of Demographic Characteristics in Breast Cancer Awareness and the Behavioural Disposition of Women in Ogun State, Nigeria	6953945	PMC6953945.nxml	breast cancer	causes	Nigeria	In Nigeria , breast cancer causes the most cancer-related deaths among women each year as a result of inadequate awareness .
Uveitis–glaucoma–hyphema syndrome with sclera-fixed posterior-chamber two-haptic intraocular lens in a highly myopic eye: a case report	6954629	PMC6954629.nxml	Ultrasound biomicroscopy ( UBM )	cause of	UGH syndrome	Ultrasound biomicroscopy ( UBM ) and gonioscopy provided direct evidence of malpositioned IOL haptics , which pushed the root of the iris forward , resulting in persistent mechanical chaffing , the probable cause of UGH syndrome .
Uveitis–glaucoma–hyphema syndrome with sclera-fixed posterior-chamber two-haptic intraocular lens in a highly myopic eye: a case report	6954629	PMC6954629.nxml	gonioscopy provided direct evidence of malpositioned IOL haptics	cause of	UGH syndrome	Ultrasound biomicroscopy ( UBM ) and gonioscopy provided direct evidence of malpositioned IOL haptics , which pushed the root of the iris forward , resulting in persistent mechanical chaffing , the probable cause of UGH syndrome .
Uveitis–glaucoma–hyphema syndrome with sclera-fixed posterior-chamber two-haptic intraocular lens in a highly myopic eye: a case report	6954629	PMC6954629.nxml	which pushed the root of the iris forward	cause of	UGH syndrome	Ultrasound biomicroscopy ( UBM ) and gonioscopy provided direct evidence of malpositioned IOL haptics , which pushed the root of the iris forward , resulting in persistent mechanical chaffing , the probable cause of UGH syndrome .
Uveitis–glaucoma–hyphema syndrome with sclera-fixed posterior-chamber two-haptic intraocular lens in a highly myopic eye: a case report	6954629	PMC6954629.nxml	resulting in persistent mechanical chaffing	cause of	UGH syndrome	Ultrasound biomicroscopy ( UBM ) and gonioscopy provided direct evidence of malpositioned IOL haptics , which pushed the root of the iris forward , resulting in persistent mechanical chaffing , the probable cause of UGH syndrome .
Uveitis–glaucoma–hyphema syndrome with sclera-fixed posterior-chamber two-haptic intraocular lens in a highly myopic eye: a case report	6954629	PMC6954629.nxml	the probable cause of UGH syndrome	cause of	UGH syndrome	Ultrasound biomicroscopy ( UBM ) and gonioscopy provided direct evidence of malpositioned IOL haptics , which pushed the root of the iris forward , resulting in persistent mechanical chaffing , the probable cause of UGH syndrome .
Impact of Seasonal and Temperature-Dependent Variation in Root Defense Metabolites on Herbivore Preference in Taraxacum officinale	6954900	PMC6954900.nxml	fluctuations in temperature leads to variation in the production of a root defensive metabolites that co-varies with expected attack of a major root herbivore	leads to	fluctuations in temperature leads to variation in the production of a root defensive metabolites that co-varies with expected attack of a major root herbivore	Our results suggest that fluctuations in temperature leads to variation in the production of a root defensive metabolites that co-varies with expected attack of a major root herbivore .
Engineering of Naproxen Loaded Polymer Hybrid Enteric Microspheres for Modified Release Tablets: Development, Characterization, in silico Modelling and in vivo Evaluation	6954845	PMC6954845.nxml	NP	causes	crucial GIT irritation	NP causes crucial GIT irritation , bleeding , and peptic and duodenal ulcers .
Engineering of Naproxen Loaded Polymer Hybrid Enteric Microspheres for Modified Release Tablets: Development, Characterization, in silico Modelling and in vivo Evaluation	6954845	PMC6954845.nxml	NP	causes	bleeding	NP causes crucial GIT irritation , bleeding , and peptic and duodenal ulcers .
Engineering of Naproxen Loaded Polymer Hybrid Enteric Microspheres for Modified Release Tablets: Development, Characterization, in silico Modelling and in vivo Evaluation	6954845	PMC6954845.nxml	NP	causes	peptic	NP causes crucial GIT irritation , bleeding , and peptic and duodenal ulcers .
Engineering of Naproxen Loaded Polymer Hybrid Enteric Microspheres for Modified Release Tablets: Development, Characterization, in silico Modelling and in vivo Evaluation	6954845	PMC6954845.nxml	NP	causes	duodenal ulcers	NP causes crucial GIT irritation , bleeding , and peptic and duodenal ulcers .
Psychoactive drugs and driving	6954869	PMC6954869.nxml	Erratic use of sedatives	causes	a higher level of impairment than stable regimens Patients who have complex medical conditions	Erratic use of sedatives causes a higher level of impairment than stable regimens Patients who have complex medical conditions and take multiple drugs should undergo a fitness - to - drive assessment
Psychoactive drugs and driving	6954869	PMC6954869.nxml	Erratic use of sedatives	causes	take multiple drugs	Erratic use of sedatives causes a higher level of impairment than stable regimens Patients who have complex medical conditions and take multiple drugs should undergo a fitness - to - drive assessment
Hydrogen inhibits endometrial cancer growth via a ROS/NLRP3/caspase-1/GSDMD-mediated pyroptotic pathway	6954594	PMC6954594.nxml	xenograft volume	inhibit	xenograft volume	We further demonstrated that hydrogen supplementation in mice was sufficient for the anti-tumor effect to inhibit xenograft volume and weight of endometrial tumors , as mice subjected to hydrogen - rich water displayed decreased radiance .
Hydrogen inhibits endometrial cancer growth via a ROS/NLRP3/caspase-1/GSDMD-mediated pyroptotic pathway	6954594	PMC6954594.nxml	weight of endometrial tumors	inhibit	xenograft volume	We further demonstrated that hydrogen supplementation in mice was sufficient for the anti-tumor effect to inhibit xenograft volume and weight of endometrial tumors , as mice subjected to hydrogen - rich water displayed decreased radiance .
Insights into the Cnx1E catalyzed MPT-AMP hydrolysis	6954367	PMC6954367.nxml	the conservative substitution of Cnx1E residue Asp274 by Glu ( D274E	leads to	an arrest of MPT - AMP hydrolysis	We found that the conservative substitution of Cnx1E residue Asp274 by Glu ( D274E ) leads to an arrest of MPT - AMP hydrolysis and hence to the accumulation of MPT - AMP .
Insights into the Cnx1E catalyzed MPT-AMP hydrolysis	6954367	PMC6954367.nxml	the conservative substitution of Cnx1E residue Asp274 by Glu ( D274E	leads to	hence to the accumulation of MPT - AMP	We found that the conservative substitution of Cnx1E residue Asp274 by Glu ( D274E ) leads to an arrest of MPT - AMP hydrolysis and hence to the accumulation of MPT - AMP .
Changes in pneumococcal carriage prevalence and factors associated with carriage in Norwegian children, four years after introduction of PCV13	6954625	PMC6954625.nxml	BackgroundStreptococcus pneumoniae carriage	cause	invasive pneumococcal disease	BackgroundStreptococcus pneumoniae carriage is often asymptomatic but can cause invasive pneumococcal disease .
Changes in pneumococcal carriage prevalence and factors associated with carriage in Norwegian children, four years after introduction of PCV13	6954625	PMC6954625.nxml	the non-vaccinated population	cause	disease	Childhood carriage can therefore be used to determine which serotypes circulate in the population and which may cause disease in the non-vaccinated population .
Oral Ulcers Presentation in Systemic Diseases: An Update	6953949	PMC6953949.nxml	updated knowledge	causes	updated knowledge	AIM : The objective of this review article is to provide updated knowledge and systemic approach regarding oral ulcers diagnosis depending upon clinical picture while excluding the other causative causes .
Oral Ulcers Presentation in Systemic Diseases: An Update	6953949	PMC6953949.nxml	updated knowledge	causes	systemic approach regarding oral ulcers diagnosis	AIM : The objective of this review article is to provide updated knowledge and systemic approach regarding oral ulcers diagnosis depending upon clinical picture while excluding the other causative causes .
Oral Ulcers Presentation in Systemic Diseases: An Update	6953949	PMC6953949.nxml	systemic approach regarding oral ulcers diagnosis	causes	updated knowledge	AIM : The objective of this review article is to provide updated knowledge and systemic approach regarding oral ulcers diagnosis depending upon clinical picture while excluding the other causative causes .
Oral Ulcers Presentation in Systemic Diseases: An Update	6953949	PMC6953949.nxml	systemic approach regarding oral ulcers diagnosis	causes	systemic approach regarding oral ulcers diagnosis	AIM : The objective of this review article is to provide updated knowledge and systemic approach regarding oral ulcers diagnosis depending upon clinical picture while excluding the other causative causes .
Association of ECG parameters with late gadolinium enhancement and outcome in patients with clinical suspicion of acute or subacute myocarditis referred for CMR imaging	6953836	PMC6953836.nxml	hospitalisation for heart failure	cause	hospitalisation for heart failure	Major adverse cardiovascular event ( MACE ) included all - cause death , hospitalisation for heart failure , heart transplantation , documented sustained ventricular arrhythmia , or recurrent myocarditis .
Association of ECG parameters with late gadolinium enhancement and outcome in patients with clinical suspicion of acute or subacute myocarditis referred for CMR imaging	6953836	PMC6953836.nxml	hospitalisation for heart failure	cause	heart transplantation ,	Major adverse cardiovascular event ( MACE ) included all - cause death , hospitalisation for heart failure , heart transplantation , documented sustained ventricular arrhythmia , or recurrent myocarditis .
Association of ECG parameters with late gadolinium enhancement and outcome in patients with clinical suspicion of acute or subacute myocarditis referred for CMR imaging	6953836	PMC6953836.nxml	heart transplantation ,	cause	hospitalisation for heart failure	Major adverse cardiovascular event ( MACE ) included all - cause death , hospitalisation for heart failure , heart transplantation , documented sustained ventricular arrhythmia , or recurrent myocarditis .
Association of ECG parameters with late gadolinium enhancement and outcome in patients with clinical suspicion of acute or subacute myocarditis referred for CMR imaging	6953836	PMC6953836.nxml	heart transplantation ,	cause	heart transplantation ,	Major adverse cardiovascular event ( MACE ) included all - cause death , hospitalisation for heart failure , heart transplantation , documented sustained ventricular arrhythmia , or recurrent myocarditis .
Epidemiology and Survival Outcomes of Lung Cancer: A Population-Based Study	6954473	PMC6954473.nxml	Purpose Lung cancer	cause of	the top - ranking cause of cancer deaths in Taiwan for decades	Purpose Lung cancer has been the top - ranking cause of cancer deaths in Taiwan for decades .
Disseminated Cryptococcosis revealed by transverse myelitis in Immunocompetent patient: a case report and review of the literature	6954520	PMC6954520.nxml	The most common infection cause of TM	cause of	TM	The most common infection cause of TM is Coxsackie virus and Mycoplasma pneumoniae .
Point mutations in topoisomerase I alter the mutation spectrum in E. coli and impact the emergence of drug resistance genotypes	6954433	PMC6954433.nxml	the emergence of antibiotic resistance in comparison to mismatch - repair ( mutS ) mutators	leads to	new resistance genotypes	Finally , we show that the unique mutation spectrum of top A mutants enhances the emergence of antibiotic resistance in comparison to mismatch - repair ( mutS ) mutators , and leads to new resistance genotypes .
Non-gradient and genotype-dependent patterns of RSV gene expression	6953876	PMC6953876.nxml	a nonsegmented negative - str	cause of	a nonsegmented negative - str	Respiratory syncytial virus ( RSV ) is a nonsegmented negative - strand RNA virus ( NSV ) and a leading cause of severe lower respiratory tract illness in infants and the elderly .
Non-gradient and genotype-dependent patterns of RSV gene expression	6953876	PMC6953876.nxml	a nonsegmented negative - str	cause of	RNA virus ( NSV )	Respiratory syncytial virus ( RSV ) is a nonsegmented negative - strand RNA virus ( NSV ) and a leading cause of severe lower respiratory tract illness in infants and the elderly .
Non-gradient and genotype-dependent patterns of RSV gene expression	6953876	PMC6953876.nxml	a nonsegmented negative - str	cause of	a leading cause of severe lower respiratory tract illness in infants	Respiratory syncytial virus ( RSV ) is a nonsegmented negative - strand RNA virus ( NSV ) and a leading cause of severe lower respiratory tract illness in infants and the elderly .
Non-gradient and genotype-dependent patterns of RSV gene expression	6953876	PMC6953876.nxml	a nonsegmented negative - str	cause of	the elderly	Respiratory syncytial virus ( RSV ) is a nonsegmented negative - strand RNA virus ( NSV ) and a leading cause of severe lower respiratory tract illness in infants and the elderly .
Non-gradient and genotype-dependent patterns of RSV gene expression	6953876	PMC6953876.nxml	RNA virus ( NSV )	cause of	a nonsegmented negative - str	Respiratory syncytial virus ( RSV ) is a nonsegmented negative - strand RNA virus ( NSV ) and a leading cause of severe lower respiratory tract illness in infants and the elderly .
Non-gradient and genotype-dependent patterns of RSV gene expression	6953876	PMC6953876.nxml	RNA virus ( NSV )	cause of	RNA virus ( NSV )	Respiratory syncytial virus ( RSV ) is a nonsegmented negative - strand RNA virus ( NSV ) and a leading cause of severe lower respiratory tract illness in infants and the elderly .
Non-gradient and genotype-dependent patterns of RSV gene expression	6953876	PMC6953876.nxml	RNA virus ( NSV )	cause of	a leading cause of severe lower respiratory tract illness in infants	Respiratory syncytial virus ( RSV ) is a nonsegmented negative - strand RNA virus ( NSV ) and a leading cause of severe lower respiratory tract illness in infants and the elderly .
Non-gradient and genotype-dependent patterns of RSV gene expression	6953876	PMC6953876.nxml	RNA virus ( NSV )	cause of	the elderly	Respiratory syncytial virus ( RSV ) is a nonsegmented negative - strand RNA virus ( NSV ) and a leading cause of severe lower respiratory tract illness in infants and the elderly .
Non-gradient and genotype-dependent patterns of RSV gene expression	6953876	PMC6953876.nxml	a leading cause of severe lower respiratory tract illness in infants	cause of	a nonsegmented negative - str	Respiratory syncytial virus ( RSV ) is a nonsegmented negative - strand RNA virus ( NSV ) and a leading cause of severe lower respiratory tract illness in infants and the elderly .
Non-gradient and genotype-dependent patterns of RSV gene expression	6953876	PMC6953876.nxml	a leading cause of severe lower respiratory tract illness in infants	cause of	RNA virus ( NSV )	Respiratory syncytial virus ( RSV ) is a nonsegmented negative - strand RNA virus ( NSV ) and a leading cause of severe lower respiratory tract illness in infants and the elderly .
Non-gradient and genotype-dependent patterns of RSV gene expression	6953876	PMC6953876.nxml	a leading cause of severe lower respiratory tract illness in infants	cause of	a leading cause of severe lower respiratory tract illness in infants	Respiratory syncytial virus ( RSV ) is a nonsegmented negative - strand RNA virus ( NSV ) and a leading cause of severe lower respiratory tract illness in infants and the elderly .
Non-gradient and genotype-dependent patterns of RSV gene expression	6953876	PMC6953876.nxml	a leading cause of severe lower respiratory tract illness in infants	cause of	the elderly	Respiratory syncytial virus ( RSV ) is a nonsegmented negative - strand RNA virus ( NSV ) and a leading cause of severe lower respiratory tract illness in infants and the elderly .
Non-gradient and genotype-dependent patterns of RSV gene expression	6953876	PMC6953876.nxml	the elderly	cause of	a nonsegmented negative - str	Respiratory syncytial virus ( RSV ) is a nonsegmented negative - strand RNA virus ( NSV ) and a leading cause of severe lower respiratory tract illness in infants and the elderly .
Non-gradient and genotype-dependent patterns of RSV gene expression	6953876	PMC6953876.nxml	the elderly	cause of	RNA virus ( NSV )	Respiratory syncytial virus ( RSV ) is a nonsegmented negative - strand RNA virus ( NSV ) and a leading cause of severe lower respiratory tract illness in infants and the elderly .
Non-gradient and genotype-dependent patterns of RSV gene expression	6953876	PMC6953876.nxml	the elderly	cause of	a leading cause of severe lower respiratory tract illness in infants	Respiratory syncytial virus ( RSV ) is a nonsegmented negative - strand RNA virus ( NSV ) and a leading cause of severe lower respiratory tract illness in infants and the elderly .
Non-gradient and genotype-dependent patterns of RSV gene expression	6953876	PMC6953876.nxml	the elderly	cause of	the elderly	Respiratory syncytial virus ( RSV ) is a nonsegmented negative - strand RNA virus ( NSV ) and a leading cause of severe lower respiratory tract illness in infants and the elderly .
Elevated Intraocular Pressure Causes Abnormal Reactivity of Mouse Retinal Arterioles	6954472	PMC6954472.nxml	the hypothesis that elevated intraocular pressure ( IOP ) causes vascular dysfunction in the retina	causes	the hypothesis that elevated intraocular pressure ( IOP ) causes vascular dysfunction in the retina	We tested the hypothesis that elevated intraocular pressure ( IOP ) causes vascular dysfunction in the retina .
Management of retroperitoneal hemorrhage compressing the inferior vena cava in a patient with a renal transplant: A case report	6953773	PMC6953773.nxml	the cause of the hematoma	cause of	the hematoma	Noncontrast abdominal computed tomography scan diagnosed the cause of the hematoma , which was a ruptured nontraumatic renal cyst hemorrhage from the right native kidney .
Management of retroperitoneal hemorrhage compressing the inferior vena cava in a patient with a renal transplant: A case report	6953773	PMC6953773.nxml	the cause of the hematoma	cause of	which was a ruptured nontraumatic renal cyst hemorrhage from the right native kidney	Noncontrast abdominal computed tomography scan diagnosed the cause of the hematoma , which was a ruptured nontraumatic renal cyst hemorrhage from the right native kidney .
Management of retroperitoneal hemorrhage compressing the inferior vena cava in a patient with a renal transplant: A case report	6953773	PMC6953773.nxml	which was a ruptured nontraumatic renal cyst hemorrhage from the right native kidney	cause of	the hematoma	Noncontrast abdominal computed tomography scan diagnosed the cause of the hematoma , which was a ruptured nontraumatic renal cyst hemorrhage from the right native kidney .
Management of retroperitoneal hemorrhage compressing the inferior vena cava in a patient with a renal transplant: A case report	6953773	PMC6953773.nxml	which was a ruptured nontraumatic renal cyst hemorrhage from the right native kidney	cause of	which was a ruptured nontraumatic renal cyst hemorrhage from the right native kidney	Noncontrast abdominal computed tomography scan diagnosed the cause of the hematoma , which was a ruptured nontraumatic renal cyst hemorrhage from the right native kidney .
ClinOmicsTrailbc: a visual analytics tool for breast cancer treatment stratification	6954665	PMC6954665.nxml	Breast cancer	cause of	cancer death	Breast cancer is the second leading cause of cancer death among women .
Species Diversity, Molecular Characterization, and Antimicrobial Susceptibility of Opportunistic Actinomycetes Isolated from Immunocompromised and Healthy Patients of Markazi Province of Iran	6954848	PMC6954848.nxml	these species	cause	infections in immunocompromised	Actinomycetes widely exist in nature and these species cause infections in immunocompromised and healthy patients , although they are frequently found as members of the normal microbiota of humans and animals .
Species Diversity, Molecular Characterization, and Antimicrobial Susceptibility of Opportunistic Actinomycetes Isolated from Immunocompromised and Healthy Patients of Markazi Province of Iran	6954848	PMC6954848.nxml	these species	cause	healthy patients	Actinomycetes widely exist in nature and these species cause infections in immunocompromised and healthy patients , although they are frequently found as members of the normal microbiota of humans and animals .
Impaired Vaccine-Induced Antibody Response Against Clade 6B H1N1 Viruses in Individuals Before Viral Emergence	6954487	PMC6954487.nxml	AbstractBackgroundClade 6B H1N1 pdm09 influenza viruses	cause	substantial morbidity	AbstractBackgroundClade 6B H1N1 pdm09 influenza viruses cause substantial morbidity and mortality worldwide .
Impaired Vaccine-Induced Antibody Response Against Clade 6B H1N1 Viruses in Individuals Before Viral Emergence	6954487	PMC6954487.nxml	AbstractBackgroundClade 6B H1N1 pdm09 influenza viruses	cause	mortality worldwide	AbstractBackgroundClade 6B H1N1 pdm09 influenza viruses cause substantial morbidity and mortality worldwide .
ADAR1 mediated regulation of neural crest derived melanocytes and Schwann cell development	6954203	PMC6954203.nxml	Neural crest specific conditional deletion of Adar1 in mice	leads to	global depigmentation	Neural crest specific conditional deletion of Adar1 in mice leads to global depigmentation and absence of myelin from peripheral nerves , resulting from alterations in melanocyte survival and differentiation of Schwann cells , respectively .
ADAR1 mediated regulation of neural crest derived melanocytes and Schwann cell development	6954203	PMC6954203.nxml	Neural crest specific conditional deletion of Adar1 in mice	leads to	absence of myelin from peripheral nerves	Neural crest specific conditional deletion of Adar1 in mice leads to global depigmentation and absence of myelin from peripheral nerves , resulting from alterations in melanocyte survival and differentiation of Schwann cells , respectively .
A fully computational and reasonable representation for karyotypes	6954653	PMC6954653.nxml	both for routine diagnostic purposes	causes	disease	It is used both for routine diagnostic purposes and for research to further our understanding of the causes of disease .
A fully computational and reasonable representation for karyotypes	6954653	PMC6954653.nxml	for research to further our understanding of the causes of disease	causes	disease	It is used both for routine diagnostic purposes and for research to further our understanding of the causes of disease .
LncRNA MEG3 promotes melanoma growth, metastasis and formation through modulating miR-21/E-cadherin axis	6954595	PMC6954595.nxml	lnc RNA MEG3	inhibit	the tumor growth	Our findings indicated that lnc RNA MEG3 might inhibit the tumor growth , tumor metastasis and formation of melanoma by modulating miR - 21 / E - cadherin axis .
Timing of delivery in women with pre-pregnancy diabetes mellitus: a population-based study	6954757	PMC6954757.nxml	The primary outcome	cause	cesarean delivery	The primary outcome was all - cause cesarean delivery .
Progression of the smoking epidemic in high-income regions and its effects on male-female survival differences: a cohort-by-age analysis of 17 countries	6954612	PMC6954612.nxml	Yet	cause	concern	Yet , smoking - attributable mortality remains high , and therefore cause for concern .
Progression of the smoking epidemic in high-income regions and its effects on male-female survival differences: a cohort-by-age analysis of 17 countries	6954612	PMC6954612.nxml	smoking - attributable mortality	cause	concern	Yet , smoking - attributable mortality remains high , and therefore cause for concern .
Low-fat dietary pattern and global cognitive function: Exploratory analyses of the Women's Health Initiative (WHI) randomized Dietary Modification trial	6953641	PMC6953641.nxml	deaths from all - causes after possible cognitive impairment were non-significantly lower in the dietary intervention group ( 0.56 % vs 0.77 %	causes	deaths from all - causes after possible cognitive impairment were non-significantly lower in the dietary intervention group ( 0.56 % vs 0.77 %	Through 18.7 years , deaths from all - causes after possible cognitive impairment were non-significantly lower in the dietary intervention group ( 0.56 % vs 0.77 % , HR 0.83 95 % CI 0.35 to 2.00 , P = 0.16 ) .
Low-fat dietary pattern and global cognitive function: Exploratory analyses of the Women's Health Initiative (WHI) randomized Dietary Modification trial	6953641	PMC6953641.nxml	deaths from all - causes after possible cognitive impairment were non-significantly lower in the dietary intervention group ( 0.56 % vs 0.77 %	causes	HR 0.83 95 % CI 0.35 to 2.00	Through 18.7 years , deaths from all - causes after possible cognitive impairment were non-significantly lower in the dietary intervention group ( 0.56 % vs 0.77 % , HR 0.83 95 % CI 0.35 to 2.00 , P = 0.16 ) .
Low-fat dietary pattern and global cognitive function: Exploratory analyses of the Women's Health Initiative (WHI) randomized Dietary Modification trial	6953641	PMC6953641.nxml	deaths from all - causes after possible cognitive impairment were non-significantly lower in the dietary intervention group ( 0.56 % vs 0.77 %	causes	P = 0.16 )	Through 18.7 years , deaths from all - causes after possible cognitive impairment were non-significantly lower in the dietary intervention group ( 0.56 % vs 0.77 % , HR 0.83 95 % CI 0.35 to 2.00 , P = 0.16 ) .
Low-fat dietary pattern and global cognitive function: Exploratory analyses of the Women's Health Initiative (WHI) randomized Dietary Modification trial	6953641	PMC6953641.nxml	HR 0.83 95 % CI 0.35 to 2.00	causes	deaths from all - causes after possible cognitive impairment were non-significantly lower in the dietary intervention group ( 0.56 % vs 0.77 %	Through 18.7 years , deaths from all - causes after possible cognitive impairment were non-significantly lower in the dietary intervention group ( 0.56 % vs 0.77 % , HR 0.83 95 % CI 0.35 to 2.00 , P = 0.16 ) .
Low-fat dietary pattern and global cognitive function: Exploratory analyses of the Women's Health Initiative (WHI) randomized Dietary Modification trial	6953641	PMC6953641.nxml	HR 0.83 95 % CI 0.35 to 2.00	causes	HR 0.83 95 % CI 0.35 to 2.00	Through 18.7 years , deaths from all - causes after possible cognitive impairment were non-significantly lower in the dietary intervention group ( 0.56 % vs 0.77 % , HR 0.83 95 % CI 0.35 to 2.00 , P = 0.16 ) .
Low-fat dietary pattern and global cognitive function: Exploratory analyses of the Women's Health Initiative (WHI) randomized Dietary Modification trial	6953641	PMC6953641.nxml	HR 0.83 95 % CI 0.35 to 2.00	causes	P = 0.16 )	Through 18.7 years , deaths from all - causes after possible cognitive impairment were non-significantly lower in the dietary intervention group ( 0.56 % vs 0.77 % , HR 0.83 95 % CI 0.35 to 2.00 , P = 0.16 ) .
Low-fat dietary pattern and global cognitive function: Exploratory analyses of the Women's Health Initiative (WHI) randomized Dietary Modification trial	6953641	PMC6953641.nxml	P = 0.16 )	causes	deaths from all - causes after possible cognitive impairment were non-significantly lower in the dietary intervention group ( 0.56 % vs 0.77 %	Through 18.7 years , deaths from all - causes after possible cognitive impairment were non-significantly lower in the dietary intervention group ( 0.56 % vs 0.77 % , HR 0.83 95 % CI 0.35 to 2.00 , P = 0.16 ) .
Low-fat dietary pattern and global cognitive function: Exploratory analyses of the Women's Health Initiative (WHI) randomized Dietary Modification trial	6953641	PMC6953641.nxml	P = 0.16 )	causes	HR 0.83 95 % CI 0.35 to 2.00	Through 18.7 years , deaths from all - causes after possible cognitive impairment were non-significantly lower in the dietary intervention group ( 0.56 % vs 0.77 % , HR 0.83 95 % CI 0.35 to 2.00 , P = 0.16 ) .
Low-fat dietary pattern and global cognitive function: Exploratory analyses of the Women's Health Initiative (WHI) randomized Dietary Modification trial	6953641	PMC6953641.nxml	P = 0.16 )	causes	P = 0.16 )	Through 18.7 years , deaths from all - causes after possible cognitive impairment were non-significantly lower in the dietary intervention group ( 0.56 % vs 0.77 % , HR 0.83 95 % CI 0.35 to 2.00 , P = 0.16 ) .
A single dose of a vesicular stomatitis virus-based influenza vaccine confers rapid protection against H5 viruses from different clades	6954110	PMC6954110.nxml	the potential of the highly pathogenic H5 N1 virus to cause severe disease in humans	cause	the potential of the highly pathogenic H5 N1 virus to cause severe disease in humans	The avian influenza virus outbreak in 1997 highlighted the potential of the highly pathogenic H5 N1 virus to cause severe disease in humans .
Comparison of Ondansetron and Granisetron Effects for Prevention of Nausea and Vomiting Following Strabismus Surgery	6953944	PMC6953944.nxml	strabismus surgery	leads to	unpleasantness	BACKGROUND : Postoperative nausea and vomiting ( PONV ) is a common complaint after strabismus surgery that leads to unpleasantness , increased hospitalisation time and increased costs .
Patients knowledge and experience with urinary and peripheral intravenous catheters	6954151	PMC6954151.nxml	catheters	cause	symptoms	Although catheters cause symptoms , patients in general do not ask if the catheter could be removed .
Patients knowledge and experience with urinary and peripheral intravenous catheters	6954151	PMC6954151.nxml	catheters	cause	patients in general	Although catheters cause symptoms , patients in general do not ask if the catheter could be removed .
SWI/SNF complex subunit BAF60a represses hepatic ureagenesis through a crosstalk between YB-1 and PGC-1α	6953711	PMC6953711.nxml	the dysregulation of ureagenesis	leads to	the development of hyperammonemia	ObjectiveUreagenesis predominantly occurs in the liver and functions to remove ammonia , and the dysregulation of ureagenesis leads to the development of hyperammonemia .
Transcriptome analysis defines myocardium gene signatures in children with ToF and ASD and reveals disease-specific molecular reprogramming in response to surgery with cardiopulmonary bypass	6954611	PMC6954611.nxml	the most common types of congenital heart diseases	cause of	the most common types of congenital heart diseases	Tetralogy of Fallot ( ToF ) and Atrial Septal Defects ( ASD ) are the most common types of congenital heart diseases and a major cause of childhood morbidity and mortality .
Transcriptome analysis defines myocardium gene signatures in children with ToF and ASD and reveals disease-specific molecular reprogramming in response to surgery with cardiopulmonary bypass	6954611	PMC6954611.nxml	the most common types of congenital heart diseases	cause of	a major cause of childhood morbidity	Tetralogy of Fallot ( ToF ) and Atrial Septal Defects ( ASD ) are the most common types of congenital heart diseases and a major cause of childhood morbidity and mortality .
Transcriptome analysis defines myocardium gene signatures in children with ToF and ASD and reveals disease-specific molecular reprogramming in response to surgery with cardiopulmonary bypass	6954611	PMC6954611.nxml	the most common types of congenital heart diseases	cause of	mortality	Tetralogy of Fallot ( ToF ) and Atrial Septal Defects ( ASD ) are the most common types of congenital heart diseases and a major cause of childhood morbidity and mortality .
Transcriptome analysis defines myocardium gene signatures in children with ToF and ASD and reveals disease-specific molecular reprogramming in response to surgery with cardiopulmonary bypass	6954611	PMC6954611.nxml	a major cause of childhood morbidity	cause of	the most common types of congenital heart diseases	Tetralogy of Fallot ( ToF ) and Atrial Septal Defects ( ASD ) are the most common types of congenital heart diseases and a major cause of childhood morbidity and mortality .
Transcriptome analysis defines myocardium gene signatures in children with ToF and ASD and reveals disease-specific molecular reprogramming in response to surgery with cardiopulmonary bypass	6954611	PMC6954611.nxml	a major cause of childhood morbidity	cause of	a major cause of childhood morbidity	Tetralogy of Fallot ( ToF ) and Atrial Septal Defects ( ASD ) are the most common types of congenital heart diseases and a major cause of childhood morbidity and mortality .
Transcriptome analysis defines myocardium gene signatures in children with ToF and ASD and reveals disease-specific molecular reprogramming in response to surgery with cardiopulmonary bypass	6954611	PMC6954611.nxml	a major cause of childhood morbidity	cause of	mortality	Tetralogy of Fallot ( ToF ) and Atrial Septal Defects ( ASD ) are the most common types of congenital heart diseases and a major cause of childhood morbidity and mortality .
Transcriptome analysis defines myocardium gene signatures in children with ToF and ASD and reveals disease-specific molecular reprogramming in response to surgery with cardiopulmonary bypass	6954611	PMC6954611.nxml	mortality	cause of	the most common types of congenital heart diseases	Tetralogy of Fallot ( ToF ) and Atrial Septal Defects ( ASD ) are the most common types of congenital heart diseases and a major cause of childhood morbidity and mortality .
